# Source: Istanbul Okan University International Student 2026-2027 Price List (study.okan.edu.tr)
# Parsed by scripts/generate_okan_programs_sql.py — PhD block excluded (already seeded in V10).

| FACULTY of MEDICINE (6 YEAR BACHELOR DEGREE PROGRAM) |
| --- |
| DEPARTMENT | LANGUAGE | TUITION PLAN | TUITION FEE (WITH INSTALLEMENT) | PAYMENT IN ADVANCE 5% DISCOUNT |
| MBA – Business Administration (Without Thesis) | ENGLISH | WHOLE STUDY | 5000USD | 4750USD |
| MBA – Business Administration (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| MBA – Business Administration (Without Thesis) (Distance Learning) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Music (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Music (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Nursing (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Nursing (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Nutrition & Dietetic (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Nutrition & Dietetic (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Occupational Health & Safety (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Occupational Health & Safety (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Painting (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Painting (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Physiotherapy & Rehabilitation (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Physiotherapy & Rehabilitation (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Power Electronics & Clean Energy Systems (With Thesis) | ENGLISH | WHOLE STUDY | 6000USD | 5700USD |
| Pre-school Education (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Pre-school Education (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Private Law (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Private Law (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Psychology (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Psychology (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Public Law (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Public Law (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Quality Management in Healthcare (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Quality Management in Healthcare (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Real Estate Finance & Valuation (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Real Estate Finance & Valuation (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Real Estate Finance & Valuation (Without Thesis)(Distance Learning) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Sales & Marketing (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Sales & Marketing (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Social & Cultural Studies (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Social & Cultural Studies (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Sports Management (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Sports Management (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Sports Physiology (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Sports Physiology (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Tourism Management (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Tourism & Hospitality (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Tourism & Hospitality (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Translation Studies (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Translation Studies (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Urban Renewal (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Urban Renewal (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| ASSOCIATE DEGREE PROGRAMS (2 YEAR) |
| DEPARTMENT | LANGUAGE | TUITION PLAN | TUITION FEE (WITH INSTALLEMENT) | PAYMENT IN ADVANCE 5% DISCOUNT |
| Accounting and Tax Practices | TURKISH | YEARLY | 2025USD | 1925USD |
| Aircraft Technology | TURKISH | YEARLY | 2025USD | 1925USD |
| Anesthesia | TURKISH | YEARLY | 2025USD | 1925USD |
| Architectural Restoration | TURKISH | YEARLY | 2025USD | 1925USD |
| Artificial Intelligence Operation | TURKISH | YEARLY | 2025USD | 1925USD |
| Audiometry | TURKISH | YEARLY | 2025USD | 1925USD |
| Banking and Insurance | TURKISH | YEARLY | 2025USD | 1925USD |
| Business Administration | TURKISH | YEARLY | 2025USD | 1925USD |
| Child Development | TURKISH | YEARLY | 2025USD | 1925USD |
| Civil Air Transportation Management | TURKISH | YEARLY | 2025USD | 1925USD |
| Civil Air Transportation Management | ENGLISH | YEARLY | 2025USD | 1925USD |
| Civil Aviation Cabin Services | TURKISH | YEARLY | 2025USD | 1925USD |
| Civil Aviation Cabin Services | ENGLISH | YEARLY | 2025USD | 1925USD |
| Cloud Computing Operation | TURKISH | YEARLY | 2025USD | 1925USD |
| Computer Aided Design (CAD) & Animation Program | TURKISH | YEARLY | 2025USD | 1925USD |
| Computer Programming | TURKISH | YEARLY | 2025USD | 1925USD |
